geo,year,overqualification_rate,labour_cost_eur_h,youth_unemployment_rate,tertiary_edu_rate
AT,2010,21.4,,62.3,19.1
AT,2011,22.7,,63.4,19.2
AT,2012,23.1,29.7,63.5,19.8
AT,2013,22.6,,62.9,20.6
AT,2014,27.2,,61.9,29.9
AT,2015,27.3,,62.0,30.6
AT,2016,28.4,32.5,62.2,31.4
AT,2017,27.6,,61.9,32.4
AT,2018,26.9,,62.7,32.7
AT,2019,27.7,,63.4,33.8
AT,2020,26.7,36.4,61.7,34.2
AT,2021,26.6,36.7,62.4,34.6
AT,2022,27.0,38.5,63.9,35.6
AT,2023,25.4,41.3,64.3,36.6
BE,2010,21.9,,43.2,35.0
BE,2011,21.8,,43.5,34.6
BE,2012,21.3,38.0,42.7,35.3
BE,2013,20.6,,41.4,35.5
BE,2014,19.5,,41.5,36.9
BE,2015,19.3,,41.3,36.9
BE,2016,19.4,38.6,41.4,37.5
BE,2017,20.0,,41.6,40.3
BE,2018,20.1,,43.4,40.6
BE,2019,19.6,,45.1,40.7
BE,2020,19.6,40.5,42.7,42.4
BE,2021,21.0,41.0,43.5,44.9
BE,2022,22.2,43.5,44.4,45.8
BE,2023,21.7,47.1,44.1,44.8
BG,2010,20.6,,39.4,23.3
BG,2011,22.5,,37.2,23.6
BG,2012,23.3,3.4,37.5,24.0
BG,2013,23.1,,36.7,25.6
BG,2014,23.0,,38.0,27.0
BG,2015,23.1,,39.2,27.5
BG,2016,21.9,4.5,38.3,27.7
BG,2017,23.2,,42.0,27.8
BG,2018,23.3,,40.8,28.2
BG,2019,22.4,,42.1,27.9
BG,2020,21.5,6.6,38.5,29.2
BG,2021,20.4,7.1,35.5,29.7
BG,2022,21.1,8.2,37.8,29.9
BG,2023,21.2,9.3,37.1,30.5
CY,2010,30.8,,52.3,35.7
CY,2011,31.3,,50.4,37.7
CY,2012,32.2,16.8,47.2,39.3
CY,2013,31.7,,43.2,39.3
CY,2014,30.8,,44.9,40.3
CY,2015,32.4,,44.6,40.5
CY,2016,34.5,15.7,45.7,41.9
CY,2017,32.6,,47.3,42.5
CY,2018,31.6,,50.5,44.1
CY,2019,32.6,,53.5,44.6
CY,2020,31.4,17.3,52.6,45.0
CY,2021,30.4,17.5,53.7,47.0
CY,2022,30.7,18.8,54.6,48.0
CY,2023,29.4,20.0,55.8,50.7
CZ,2010,7.5,,42.6,16.8
CZ,2011,11.6,,42.7,18.2
CZ,2012,11.9,10.0,42.9,19.3
CZ,2013,12.7,,44.3,20.5
CZ,2014,12.7,,45.7,21.5
CZ,2015,12.9,,46.8,22.2
CZ,2016,13.2,10.3,47.7,23.0
CZ,2017,14.1,,49.0,23.9
CZ,2018,14.2,,49.0,24.3
CZ,2019,14.9,,48.8,24.2
CZ,2020,14.0,14.6,45.8,24.9
